# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.642531335532387921e-02,3.243298361484077196e-12,1.144884321603879271e-12
5.644067345108979422e-02,3.312076974225152728e-12,1.169163171901478818e-12
5.645604191178168335e-02,3.248579307278969950e-12,1.146748495469476328e-12
5.647141874423458607e-02,3.283001999250688253e-12,1.158899705735492923e-12
5.648680395529095954e-02,3.360495691477360654e-12,1.186254979091508307e-12
5.650219755180073411e-02,3.263557045426668838e-12,1.152035637035614132e-12
5.651759954062130636e-02,3.211813099846467519e-12,1.133770024245803071e-12
5.653300992861755997e-02,3.253717815715753835e-12,1.148562388947661058e-12
5.654842872266184484e-02,3.286595441257776452e-12,1.160168190763994978e-12
5.656385592963404652e-02,3.227806300508380076e-12,1.139415624079458146e-12
5.657929155642152375e-02,3.317761014018335221e-12,1.171169637948472185e-12
5.659473560991917090e-02,3.118644736567583713e-12,1.100881592008357045e-12
5.661018809702941107e-02,3.259633962291515933e-12,1.150650788688905119e-12
5.662564902466222377e-02,3.265773220033840622e-12,1.152817946671945593e-12
5.664111839973511031e-02,3.256725558974474502e-12,1.149624122317989508e-12
5.665659622917315619e-02,3.326444347565997013e-12,1.174234854690796970e-12
5.667208251990898948e-02,3.370783678838439951e-12,1.189886638629969278e-12
5.668757727888287107e-02,3.213025931636883405e-12,1.134198153867819699e-12
5.670308051304261826e-02,3.161841839304116899e-12,1.116130169274353251e-12
